"","series","episode","first_name","last_name","signature_bake","technical","show_stopper","result","baker_age","baker_occupation","hometown"
"565",6,4,"Mat","Riley","Coconut Crème Brûlées",7,"Chocolate Bar Cheesecakes","IN",37,"Fire fighter","London"
"566",6,4,"Nadiya","Hussain","Cinnamon Tea Crème Brûlées",8,"Fizzy Pop Cheesecakes","IN",30,"Full-time mother","Leeds / Luton"
"567",6,4,"Paul","Jagger","Almond Crème Brûlées",1,"Berry Cheesecake Tower","IN",49,"Prison governor","Swansea, Wales"
"568",6,4,"Tamal","Ray","Rhubarb and Ginger Crème Brûlées",5,"Mango, Hazelnut and Rosemary Cheesecake Trio","IN",29,"Trainee anaesthetist","Manchester"
"569",6,4,"Ugnė","Bubnaityte","Marula Fruit and Coffee Liqueur Crème Brûlées",2,"Lime, Coconut and Hazelnut Cheesecakes","IN",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"570",6,4,"Sandy","Docherty","Pontefract Crème Brûlées",6,"Cassata, Whisky and Orange & Apple Pie Cheesecakes","OUT",49,"Child welfare officer","Yeadon, West Yorkshire"
"571",6,4,"Ian","Cumming","Pomegranate Two Ways Crème Brûlées",4,"Trio of Spicy and Herby Baked Cheesecakes","STAR BAKER",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"572",6,4,"Dorret","Conway",NA,NA,NA,NA,53,"Accountant","Penwortham, Lancashire"
"573",6,4,"Marie","Campbell",NA,NA,NA,NA,66,"Retired","Auchterarder, Perthshire"
"574",6,4,"Stu","Henshall",NA,NA,NA,NA,35,"Professional musician","Guildford, Surrey"
"575",6,5,"Alvin","Magallanes","Pineapple Upside Down Cake",8,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll","IN",37,"Nurse","Bracknell, Berkshire"
"576",6,5,"Flora","Shedden","Pistachio, Apple and Cardamom Madeleine Cake",3,"Chocolate and Pear Bûche","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"577",6,5,"Ian","Cumming","Honey and Flowers Cake",5,"Dessert Island","IN",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"578",6,5,"Mat","Riley","Sugar Free Carrot Cake",4,"Raspberry and Coconut Ice Cream Roll","IN",37,"Fire fighter","London"
"579",6,5,"Paul","Jagger","Carrot & Pecan Cake",2,"Dessert Island Getaway","IN",49,"Prison governor","Swansea, Wales"
"580",6,5,"Tamal","Ray","Honey and Grapefruit Polenta Cake",7,"Passion Fruit and Pineapple Ice Cream Roll","IN",29,"Trainee anaesthetist","Manchester"
"581",6,5,"Ugnė","Bubnaityte","Chocolate and Hazelnut Sugar-Free Cake",6,"Chocolate, Peanut Butter and Grape Jam Roll","OUT",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"582",6,5,"Nadiya","Hussain","Naked Blueberry and Caraway Crunch Cake",1,"Chocolate and Strawberry Lime Ice Cream Roll","STAR BAKER",30,"Full-time mother","Leeds / Luton"
"583",6,5,"Dorret","Conway",NA,NA,NA,NA,53,"Accountant","Penwortham, Lancashire"
"584",6,5,"Marie","Campbell",NA,NA,NA,NA,66,"Retired","Auchterarder, Perthshire"
"585",6,5,"Sandy","Docherty",NA,NA,NA,NA,49,"Child welfare officer","Yeadon, West Yorkshire"
"586",6,5,"Stu","Henshall",NA,NA,NA,NA,35,"Professional musician","Guildford, Surrey"
"587",6,6,"Flora","Shedden","Apricot and Rosemary Frangipane Tart",2,"Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"588",6,6,"Ian","Cumming","Pear and Raspberry Frangipane Tart",3,"vol-au-vents Terre et Mer","IN",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"589",6,6,"Nadiya","Hussain","Bay Leaf, Rong Tea and Pear Tart",4,"Bengali Korma and Clementine with Cod Vol-au-vents","IN",30,"Full-time mother","Leeds / Luton"
"590",6,6,"Paul","Jagger","Christmas Frangipane Tart",5,"Savoury and Sweet Bouchées","IN",49,"Prison governor","Swansea, Wales"
"591",6,6,"Tamal","Ray","Spiced Pear Frangipane Tart",7,"Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents","IN",29,"Trainee anaesthetist","Manchester"
"592",6,6,"Alvin","Magallanes","Plum Frangipane Tart",6,"Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents","OUT",37,"Nurse","Bracknell, Berkshire"
"593",6,6,"Mat","Riley","Piña Colada Frangipane Tart",1,"His 'n' Hers Vol-au-vents","STAR BAKER",37,"Fire fighter","London"
"594",6,6,"Dorret","Conway",NA,NA,NA,NA,53,"Accountant","Penwortham, Lancashire"
"595",6,6,"Marie","Campbell",NA,NA,NA,NA,66,"Retired","Auchterarder, Perthshire"
"596",6,6,"Sandy","Docherty",NA,NA,NA,NA,49,"Child welfare officer","Yeadon, West Yorkshire"
"597",6,6,"Stu","Henshall",NA,NA,NA,NA,35,"Professional musician","Guildford, Surrey"
"598",6,6,"Ugnė","Bubnaityte",NA,NA,NA,NA,32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"599",6,7,"Flora","Shedden","Game Pie with Shallot and Apple Chutney",4,"Raspberry, Pomegranate and Champagne Charlotte Russe","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"600",6,7,"Ian","Cumming","Roadkill Pie",5,"Victoria's Crown Charlotte Russe","IN",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"601",6,7,"Nadiya","Hussain","Aromatic Raised Game Pie",1,"Mango and Raspberry Charlotte Russe","IN",30,"Full-time mother","Leeds / Luton"
"602",6,7,"Paul","Jagger","Not a Boaring Pie",2,"Charlotte Rose","IN",49,"Prison governor","Swansea, Wales"
"603",6,7,"Mat","Riley","Raised Venison and Pigeon Pie",6,"Strawberry Charlotte Russe","OUT",37,"Fire fighter","London"
"604",6,7,"Tamal","Ray","Middle Eastern Game Pie",3,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe","STAR BAKER",29,"Trainee anaesthetist","Manchester"
"605",6,7,"Alvin","Magallanes",NA,NA,NA,NA,37,"Nurse","Bracknell, Berkshire"
"606",6,7,"Dorret","Conway",NA,NA,NA,NA,53,"Accountant","Penwortham, Lancashire"
"607",6,7,"Marie","Campbell",NA,NA,NA,NA,66,"Retired","Auchterarder, Perthshire"
"608",6,7,"Sandy","Docherty",NA,NA,NA,NA,49,"Child welfare officer","Yeadon, West Yorkshire"
"609",6,7,"Stu","Henshall",NA,NA,NA,NA,35,"Professional musician","Guildford, Surrey"
"610",6,7,"Ugnė","Bubnaityte",NA,NA,NA,NA,32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"611",6,8,"Flora","Shedden","Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns",3,"Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"612",6,8,"Ian","Cumming","Mont Blanc & Black Forest Gâteau Horns",2,"Nun with Hidden Passions","IN",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"613",6,8,"Tamal","Ray","Lime & Mascarpone and Malt Cream Horns",4,"Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne","IN",29,"Trainee anaesthetist","Manchester"
"614",6,8,"Paul","Jagger","Café Tipple & Banana Crunch-away Horns",5,"Religieuse à l'ancienne","OUT",49,"Prison governor","Swansea, Wales"
